Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
15,,2021-11-16,27-245,PHI,@,UTA,L (-35),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2021-11-18,27-247,PHI,@,DEN,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2021-11-20,27-249,PHI,@,POR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2021-11-22,27-251,PHI,@,SAC,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2021-11-24,27-253,PHI,@,GSW,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,10,2021-11-27,27-256,PHI,,MIN,L (-1),1,45:26,12,23,.522,2,4,.500,16,21,.762,2,12,14,3,1,2,4,4,42,32.6,+11
21,11,2021-11-29,27-258,PHI,,ORL,W (+5),1,29:45,4,16,.250,1,2,.500,7,10,.700,4,9,13,5,0,2,3,4,16,11.0,+1
22,12,2021-12-01,27-260,PHI,@,BOS,L (-1),1,33:14,3,17,.176,1,3,.333,6,10,.600,4,14,18,6,2,3,0,1,13,15.6,-9
23,13,2021-12-03,27-262,PHI,@,ATL,W (+2),1,36:08,10,23,.435,1,3,.333,7,8,.875,1,11,12,4,1,2,3,4,28,20.1,+15
24,14,2021-12-06,27-265,PHI,@,CHO,W (+3),1,40:40,15,20,.750,1,2,.500,12,14,.857,1,14,15,7,1,0,3,3,43,40.8,+7
25,15,2021-12-08,27-267,PHI,@,CHO,W (+4),1,32:32,8,17,.471,1,2,.500,15,19,.789,1,7,8,4,1,0,1,4,32,25.7,-1
26,16,2021-12-09,27-268,PHI,,UTA,L (-22),1,30:14,8,18,.444,1,4,.250,2,2,1.000,1,8,9,2,3,1,1,4,19,15.2,-3
27,17,2021-12-11,27-270,PHI,,GSW,W (+9),1,32:31,7,16,.438,1,4,.250,11,11,1.000,0,9,9,4,2,0,4,3,26,19.9,-9
28,,2021-12-13,27-272,PHI,@,MEM,L (-35),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,18,2021-12-15,27-274,PHI,,MIA,L (-5),1,37:06,5,13,.385,1,5,.200,6,6,1.000,1,13,14,5,1,1,1,1,17,18.3,+7
30,19,2021-12-16,27-275,PHI,@,BRK,L (-9),1,33:13,11,20,.550,1,3,.333,9,11,.818,0,9,9,6,1,0,2,4,32,25.9,-5
31,20,2021-12-20,27-279,PHI,@,BOS,W (+5),1,40:13,14,27,.519,1,5,.200,12,14,.857,0,10,10,5,2,4,5,3,41,32.0,+4
32,21,2021-12-23,27-282,PHI,,ATL,L (-2),1,35:31,6,17,.353,2,2,1.000,9,10,.900,2,8,10,2,1,2,2,1,23,18.3,-11
33,22,2021-12-26,27-285,PHI,@,WAS,W (+21),1,30:39,12,17,.706,2,5,.400,10,11,.909,2,11,13,1,1,2,1,1,36,34.9,+25
34,23,2021-12-28,27-287,PHI,@,TOR,W (+5),1,34:06,11,16,.688,2,3,.667,12,14,.857,2,9,11,4,1,1,2,2,36,34.2,-4
35,24,2021-12-30,27-289,PHI,@,BRK,W (+8),1,32:02,11,23,.478,3,5,.600,9,12,.750,2,5,7,1,3,1,2,1,34,26.0,0
36,25,2022-01-03,27-293,PHI,,HOU,W (+20),1,29:47,12,20,.600,1,2,.500,6,7,.857,5,10,15,10,1,2,6,2,31,30.5,+20
37,26,2022-01-05,27-295,PHI,@,ORL,W (+10),1,33:14,12,22,.545,0,2,.000,7,10,.700,3,2,5,4,1,1,6,4,31,18.8,+1
